ID,goal,enddate,startdate,coinNum,teamSize,country_region,categories,overallrating,ratingTeam,ratingProduct,platform,acceptingCurrencyNum,whitepaper,video,socialMedia,GitHub,teamLinkedIn,teamPhotos,CEOPhoto
1,N,15-04-2018,01-03-2018,12750000,14,Estonia,"Charity,Education,Health,Smart Contract",2.6,2.4,2.4,Ethereum,1,1,1,0,0,86%,100%,0
2,N,25-08-2017,25-07-2017,0,13,Singapore,Infrastructure,2.1,0,0,unknown,1,1,1,0,1,0%,100%,0
3,Y,23-11-2017,18-11-2017,2220000000,9,Singapore,"Platform,Business services",2.5,0,0,Ethereum,unknown,1,0,3,0,0%,100%,0
4,Y,18-05-2018,22-04-2018,45000000,7,Mexico,"Internet,Infrastructure,Cryptocurrency,Business services,Big Data,Banking,Artificial Intelligence,Legal,Real estate,Smart Contract,Software",2.1,1,2,Ethereum,2,1,0,0,0,0%,100%,1
5,Y,02-02-2018,01-02-2018,80000000,20,Gibraltar,"Platform,Infrastructure,Energy",4.3,4.4,4,Ethereum,1,1,1,2,1,100%,100%,0
6,N,30-04-2018,12-03-2018,120000000,10,South Africa,"Platform,Cryptocurrency,Internet,Media,Retail",3.5,3.3,3.3,Ethereum,1,1,1,3,1,90%,100%,1
7,N,23-04-2018,24-03-2018,10000000,4,Switzerland,"Smart Contract,Cryptocurrency",2.5,0,0,Ethereum,unknown,1,1,0,1,100%,100%,1
8,Y,06-12-2017,06-11-2017,51000000,22,UK,"Banking,Platform,Software",3.5,4.2,3.6,Ethereum,3,1,0,3,1,95%,100%,0
9,Y,08-10-2017,08-09-2017,6000000,7,Russia,"Infrastructure,Platform",3.3,3,3,Ethereum,1,1,1,0,1,29%,100%,1
10,N,30-11-2017,01-11-2017,0,13,Estonia,"Cryptocurrency,Internet,Investment,Energy",2,0,0,Ethereum,unknown,1,0,0,0,23%,100%,0
11,N,31-10-2017,01-10-2017,0,7,USA,"Platform,Investment,Cryptocurrency",2.1,1,1,Ethereum,1,1,0,3,1,0%,57%,0
12,Y,29-04-2018,01-04-2018,30000000,12,Japan,Business services,2.3,0,0,Ethereum,3,1,1,0,0,0%,100%,1
13,N,03-03-2018,03-02-2018,0,4,United Kingdom,"Artificial Intelligence,Investment,Big Data",1.9,4,4,Ethereum,2,1,0,0,0,0%,0%,0
14,N,15-02-2018,15-01-2018,100000000,3,United Arab Emirates,"Platform,Other",1.8,3,3,EOS,1,1,1,0,0,0%,0%,0
