Goal,Offering_days,Coin_Num,Team_Size,Country_Region,Category_Num,Overall_Rating,Team_Rating,Product_Rating,Platform,Accepting_Currency_Num,Whitepaper,Video,Social_Media,GitHub,Team_LinkedIn,Team_Photos,CEO_Photo
0,45.0,12750000,14,Estonia,4,2.6,2.4,2.4,1.0,1.0,1,1,0,0,0.86,1.0,0
0,31.0,0,13,Singapore,1,2.1,0.0,0.0,0.0,1.0,1,1,0,1,0.0,1.0,0
1,5.0,2220000000,9,Singapore,2,2.5,0.0,0.0,1.0,1.0,1,0,3,0,0.0,1.0,0
1,26.0,45000000,7,Mexico,11,2.1,1.0,2.0,1.0,2.0,1,0,0,0,0.0,1.0,1
1,1.0,80000000,20,Gibraltar,3,4.3,4.4,4.0,1.0,1.0,1,1,2,1,1.0,1.0,0
0,49.0,120000000,10,South Africa,5,3.5,3.3,3.3,1.0,1.0,1,1,3,1,0.9,1.0,1
0,30.0,10000000,4,Switzerland,2,2.5,0.0,0.0,1.0,1.0,1,1,0,1,1.0,1.0,1
1,30.0,51000000,22,UK,3,3.5,4.2,3.6,1.0,3.0,1,0,3,1,0.95,1.0,0
1,30.0,6000000,7,Russia,2,3.3,3.0,3.0,1.0,1.0,1,1,0,1,0.29,1.0,1
0,29.0,0,13,Estonia,4,2.0,0.0,0.0,1.0,1.0,1,0,0,0,0.23,1.0,0
0,30.0,0,7,USA,3,2.1,1.0,1.0,1.0,1.0,1,0,3,1,0.0,0.57,0
1,28.0,30000000,12,Japan,1,2.3,0.0,0.0,1.0,3.0,1,1,0,0,0.0,1.0,1
0,28.0,0,4,UK,3,1.9,4.0,4.0,1.0,2.0,1,0,0,0,0.0,0.0,0
0,31.0,100000000,3,UAE,2,1.8,3.0,3.0,0.0,1.0,1,1,0,0,0.0,0.0,0
1,31.0,29999997,6,Switzerland,1,2.5,0.0,0.0,0.0,3.0,1,1,0,1,0.0,1.0,0
0,50.0,0,10,Russia,3,3.4,3.2,3.0,1.0,1.0,1,1,0,1,0.9,1.0,1
0,92.0,30000000,8,USA,1,2.3,0.0,0.0,1.0,1.0,1,1,0,0,0.88,1.0,0
0,84.0,0,8,Cyprus,3,2.8,0.0,0.0,1.0,4.0,1,0,0,1,0.5,1.0,0
1,4.0,187500000,14,USA,2,2.9,3.0,3.0,1.0,2.0,1,1,3,1,1.0,1.0,1
0,32.0,0,4,Bulgaria,1,1.5,0.0,0.0,0.0,10.0,1,0,0,0,0.0,1.0,0
0,28.0,400000000,1,Russia,1,1.3,1.0,1.0,0.0,3.0,1,0,0,0,0.0,1.0,1
1,32.0,3000000,9,UAE,1,2.8,0.0,0.0,1.0,2.0,1,1,0,1,0.0,1.0,0
0,17.0,142975000,23,USA,5,3.6,3.5,3.5,1.0,3.0,1,0,3,1,0.96,1.0,0
0,89.0,200000000,9,USA,5,3.9,4.6,4.3,1.0,7.0,1,1,0,0,1.0,0.88,1
1,30.0,24000000,11,Singapore,3,3.2,3.2,2.7,1.0,4.0,1,1,0,1,0.91,1.0,0
1,28.0,122400000,16,Cyprus,3,3.0,3.1,2.6,1.0,1.0,1,1,0,1,1.0,1.0,0
1,91.0,1,10,India,4,4.3,3.9,4.4,1.0,1.0,1,1,0,1,1.0,1.0,0
0,7.0,204000000,21,Isle of Man,5,4.1,5.0,4.6,1.0,1.0,1,1,0,0,0.9,1.0,0
0,45.0,21000000,4,Russia,1,2.1,2.3,2.3,1.0,1.0,1,0,0,0,0.5,1.0,0
0,27.0,0,10,Russia,5,3.0,3.0,3.2,1.0,3.0,1,1,0,1,0.6,1.0,0
0,45.0,139000000,6,Thailand,1,2.4,0.0,0.0,1.0,1.0,1,1,0,0,0.0,1.0,0
0,31.0,20000000,6,Russia,3,2.9,0.0,0.0,1.0,2.0,1,1,0,0,0.33,1.0,0
0,22.0,15000000,6,Seychelles,6,2.4,0.0,0.0,1.0,1.0,1,1,0,0,0.0,1.0,0
1,28.0,350000000,14,Slovenia,3,3.3,4.0,3.5,1.0,1.0,1,1,2,0,0.86,1.0,0
0,31.0,20000000,9,Latvia,3,3.8,3.7,3.9,1.0,1.0,1,1,0,1,0.89,1.0,0
0,48.0,192000000,16,Czech Republic,2,2.8,0.0,0.0,1.0,1.0,1,0,0,1,0.69,1.0,0
